sentiment,message,tweetid
0,RT @ParkerMolloy: So... @EPA's climate change website is gone ,858682082582822912
1,"RT @KamalaHarris: I stand with @JerryBrownGov in saying that California will not back down on climate change. 
",798162813910806528
0,RT @RyanMaue: Fair and balanced ... good read ... weather forecasting is easy compared to complicated climate attribution. ,690592971281031168
1,Bill Gates says investing in clean energy makes sense even if you don't believe in climate change ,808660262416945152
1,"RT @DeboraheHart: Toxic soils, aquifers, vast amts of wasted (+ waste) water, runaway climate change - what part of gas fracking don'…",843051162068701184
1,RT @xtremesafety: Climate change has dire implications for human safety. http://t.co/OtfNb1Lcqq #safety #climate,603350056142516224
0,"RT @DavidPapp: [CNET] Climate change flick $q$An Inconvenient Truth$q$ turns 10, get it for free - CNET ",735223879468093440
1,RT @ClimateAdapt: Women may bear the brunt of climate change's impacts ,919101939119517696
2,RT @voxdotcom: A Trump adviser wants to scale back NASA’s ability to study climate change ,803115524448100352
2,RT @thehill: American Meteorological Society comes out against EPA head on climate change ,841303794143092737
1,#DonaldTrump is only interested in #ClimateChange if it turns out bad for his wallet. ,734766366729895937
1,"RT @Bey_Legion: HD: Beyoncé's heartfelt message on natural disasters, climate change &amp; how we're all in this together. #HandInHand ",907998027368980480
2,RT @JuddLegum: New York City is suing 5 of the most powerful fossil fuel companies over climate change ,953957312762449920
1,"RT @GeorgeTakei: GOP again suspends committee rules, advances vote on climate change denier Scott Pruitt’s confirmation as EPA administrato…",827197537052397568
0,@keenerz Global warming brahj,713139564244811776
1,RT @Emlee_13: #AHSS1190 How do you plan on convincing citizens that climate change is real &amp; an important issue @JustinTrudeau @cathmckenna,793456728054571009
0,"@ChelseaClinton Break out the distraction playbook. Race, climate change, and immigration. Whatever you do, don'tâ€¦ ",958829104270397447
1,RT @blkahn: What recent research says about climate change and rapid intensification of hurricanes like #Maria �� ,910094367855140864
1,"RT @DaShanneStokes: If you support the environment, Mr. Trump, why do you deny science of global warming? #resist #marchforscience #theresi…",856147059161911296
1,UNESCO showcases indigenous knowledge to fight climate change at COP22 #ElGranPipeMF ,795682645896294400
0,"RT @MisterRudeman: People scared of global warming killing everyone, like that's a bad thing lmao",799760291542212608
2,Sudden death of half the world’s wild siagas antelopes may be due to climate change via ... ,661928553240358912
0,HAARP 2015 Reveals climate change ,794833070620835840
0,RT @scumyum6: global warming been showing out what you bout to do man? do it @god,819631453696827393
2,Trump's wrong Ivanka Twitter mistake earns lesson in climate change ,821584385493397505
1,"RT @DrJillStein: The #GreenNewDeal:
Ã°Å¸â€˜Â·Ã°Å¸ï†Â¾ Jobs for all who need work
Ã¢Ëœâ‚¬Ã¯Â¸ï† 100% clean energy
Ã°Å¸Å’Å½ halt climate change
Ã¢Å“Å’Ã°Å¸ï†Â¼ wars for oil obsoletÃ¢â‚¬Â¦",794955186468962304
1,RT @Grime_Me: ,794231044484386816
2,RT @FindingBad: Website maps Vanuatu climate change flooding risk ,822812925568188416
-1,"@TexCIS Well see, proof positive of - global warming...err...climate change...err...global climate disruption. ;) Stay safe and warm.",857043162639941633
1,RT @LilHerb_Kent: Mfs really think homosexuality gon be the end to mankind. Not global warming or how irresponsible we are with natural res…,849157659035017216
2,"RT @BillMoyersHQ: The threat of climate change is pushing environmental law into new territory, writes @LightTweeting ",860048703272493057
1,RT @JanzforCongress: Using tax payer funds to mail climate change denying propaganda to our community is shameful. Science is real Devin noâ€¦,961198078479941633
0,"RT @PaulBegala: Look on the bright side: compared to the coming thermonuclear inferno, global warming will seem quite pleasant.",895038070646550529
1,‘Investment in climate change adaptation yielding results’ - National #‘Investment #in #climate #change... ,894396463299645441
1,"RT @UNICEFEducation: 50M children are on the move and out of the classroom - many fleeing war, poverty &amp; climate change…",878652216852140033
2,"RT @kylegriffin1: Energy Dept climate office has now banned use of phrases 'climate change,' 'emissions reduction' &amp; 'Paris Agreement' http…",847494317610459136
1,Why the world is finally ready to tackle climate change | Keep it in the... ,671587931014823936
1,"RT @1010: 8 minute read! How to change our attitude to climate change: stay positive, think big picture, and work together…",846435502580486152
2,China actively meets challenges of climate change in the Arctic ,955040602411995136
-1,"@OliveGraceSophi @nytimes ever happen in 1800's? I'd bet it did, was that climate change?",837533024673681408
0,"RT @mitchellvii: So the question is not, does the climate change, but is mankind the primary cause of climate change? Looking at the fossiâ€¦",948205744096202754
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change ,798766392929435648
1,"RT @AdamMcKim: If we want to develop global citizens who care about climate change, we need to focus less on floods &amp; more on drou… ",807282532379164673
-1,"RT @hockeyschtick1: .@AlGore claims to be the $q$Jackie Robinson$q$ of global warming, blames Zika virus &amp; flooding on CO2 ",750389156765900804
1,"@bottomoftheline climate change in the us, and any place south it's spring/summer, like Australia",797219356392431621
-1,.@NYCMayor thinks the best way to fix climate change is to sue oil companies for the Industrial Revolution. No wondâ€¦ ,954133645001883648
1,"RT @LeoDiCaprio: Want to stop climate change, @UWM? See #BeforeTheFlood at your University #BeforeYouVote. 
",794183812716457984
-1,@MusickAndrew @bogieboris @DaysOfTrump Think of people with no jobs and China making up climate change then you'd know #alternativefacts,825430425287979010
0,RT @JonathanToews: Do you believe in climate change? Whether you're super pumped that we are putting 'Americans… ,870798602515341312
1,RT @MercianRockyRex: Rocky Rex$q$s Science Stuff: Climate Change - Rising sea level ,730051643220365314
1,"RT @veganposters: To survive today, other animals must endure global warming, pollution and fewer... - Anthony Douglas Williams #vegan httpâ€¦",950410575527534593
1,RT @guldaar: How climate change is impacting agriculture in Pakistan. http://t.co/5XE6uUXeGf Excellent report by @SyedMAbubakar!,610389779364982784
2,New article on darkpolitricks: Washington State Judge: Constitutional Obligation to Act on Global Warming ,667935260886306816
-1,RT @realDonaldTrump: The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,796275702366670848
1,"Despite a slowing planet, today not the longest day so far; global warming speeds earth up: ",744894068417761280
1,RT @climatemegan: “Nobody is telling farmers how to adapt to climate change... Adding the pressure of a dam puts Egypt on the verge o…,888710780064940032
1,"Actually climate change has caused poverty, that has helped recruit people to terrorism. ",869008659098984448
1,"So #loathsomeLeadsom$q$s first ministerial act is a badger cull, not climate change action. Good to see she$q$s on top of priorities. #facepalm",768139477885788166
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change ,798607156735971328
0,ðŸ—¨ ,957834214749102080
1,RT @likeagirlinc: The effects of climate change “are no longer subtle. They are upon us.” #DefendClimate ,927562532188930048
1,RT @mashable: Enough global warming is in the pipeline to melt all Arctic sea ice in summer by 2030s ,857087185744527362
-1,"RT @SteveSGoddard: It has been 17 years since the UN said global warming killed us all.
",841369564881469441
1,"RT @neiltyson: As climate change reshapes the World’s coastlines, rich people lose their second homes. Poor people lose their only homes.",672809440479956993
0,Are the youth of Seattle more afraid of an earthquake or climate change? http://t.co/0xBL9HszP9,626183728998559744
0,RT @sleepyverny: 36. did u know jisol could actually stop global warming w how cute they are ,797048266017816577
1,"@FunjabiAtheist as far as climate change, it's going to happen either way because the us military is the largest contributor",796607656676888576
1,RT @p_hannam: And yet climate change barely featured in US presidential election. ,812051096545808384
1,"RT @CATS_PAWS: Hillbot$q$s denial of how money corrupts our government is the same as conservative$q$s denial of global warming.
",722536334288633857
-1,"RT @MicheleATittler: NO GLOBAL WARMING, NO MAN MADE CLIMATE CHANGE. It$q$s a scam, now let$q$s get back to our job of surviving. ",776226167162408960
0,#FridayFeeling: And thatâ€™s why Trump said global warming is fake! ,946739964473217024
1,We need to move away from dirty and dangerous fossil fuels that are driving catastrophic climate change and threat… ,928717624388739072
2,Governments and companies to be hit with 'wave of legal action' over climate change ,903892809689604096
1,Macron teams up with Schwarzenegger to troll Trump in climate change video ,879133789032636416
-1,Thereâ€™s global warming for ya. Get your dooms day prep shit ready (crazy white folks) ,950151892574744576
2,"RT @PopSci: If you live in the South, climate change could kill your economy ",881396387497234432
0,Fans of this piece on climate change songs on today’s Beeb might like our SPECIAL episode ,666912459165458432
1,RT @AnonyPress: 2016 was the year that the United States elected a man who believes that global warming is a Chinese conspiracy,796311876862930944
2,"RT @sciam: The effect of climate change on endangered species has been wildly underestimated, a new study has found. ",832969791048732672
-1,RT @reviddiver: @DVATW @heather_venter I remember when climate change was called weather.,901139099070976000
1,RT @NewYorker: The E.P.A. can no more stop the decline of coal than Trump can prove that climate change is a hoax. ,957173917206138880
1,"RT @jessokfine: This Is Not Normal.
Help stop climate change: ",798554226070720512
2,RT @marcialangton: Australia Day cancelled in Adelaide by impacts of climate change ,954582130792718336
1,RT @chloebalaoing: climate change is a global issue that's only getting worse. eating plant based is the least amount of effort that h…,862026161072648192
-1,RT @therealroseanne: climate change is a bullshit concept that means poor ppl bear the taxes to clean up rich people's water.,806219401246756864
2,RT @Forbes: Pluto's atmosphere is cooler than it should be. Why that might hold that key to fighting global warming here on Ear…,934354531672100864
0,"RT @jo_revelette: #TrumpCouldSay,Climate change$q$s a hoax•Cruz$q$s dad helped murder JFK•Blood comin outa$q$her wherever•he$q$s no problems down t…",763760281185054721
2,RT @washingtonpost: UN: Global agriculture needs a $q$profound transformation$q$ to fight climate change and protect food security ,788141025252499456
2,Los Angeles schemes to sue major oil companies over climate change. ,956528451250458624
0,@violxncee this woman has climate change sorted,865334690089230341
1,"RT @ICLEI_SAMS: 'Cities face day to day the impacts of climate change, and we need support', says @veroniicaarias at @UN_PGA about…",845003455915810818
1,RT @SethMacFarlane: HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoaxÃ¢â‚¬Â¦,795488611131133954
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change ,798839261202001920
1,RT @SethMacFarlane: HRC proposes installing half a billion solar panels by the end of her first term. Trump thinks climate change is a hoaxÃ¢â‚¬Â¦,795600761841471488
1,RT @elliott_downing: Waiting for Trump to cite the groundhog's prediction yesterday as proof that global climate change is a hoax.,958818677415014401
1,Dear Pope Francis: Use Capitalism To Fight Climate Change - Forbes http://t.co/wPV5MbEuDw,646402675274346496
2,"Modi on U.S. visit to discuss climate change, security ",740206273308688384
1,RT @valmasdel: Analysis of impacts avoided if global warming is at 1.5°C compared to 2 or 4°C : 'The proportion of impacts that ar…,938360617794199552
1,"RT @peta: The honeybee population has been nearly decimated from disease, pesticides, and climate change. Protect them by say… ",820505911332667392
0,@jimwaterson interesting that it chooses to omit his potentially divisive charity work on climate change,706970907315720194
1,RT @BernieSanders: #ImVotingBecause the future of the planet is at stake. Hillary Clinton will combat climate change. Donald Trump thinks iÃ¢â‚¬Â¦,795975767515680768
1,RT @ClimateDesk: Hillary:$q$I believe in science. I believe climate change is real and that we can save our planet while creating millions of…,758966738981576704
1,RT @kurteichenwald: China is now explaining the history of climate change science/politics 2 underscore to Trump they didnt do a hoax. GodÃ¢â‚¬Â¦,799198877253517316
0,@JannaWilkinso69 Ha ha!! Funny you! It's 13Â° here in Wisconsin ðŸ¤¤ðŸ¤¤ðŸ˜¨ðŸ˜¨â„â„â˜ƒâ˜ƒI sure wish that global warming would kick iâ€¦ ,959759608683393024
2,"RT @mims: BlackRock manages $5.1 trillion, wants companies it part-owns to disclose their risk to climate change ",841319348836929536
1,@Lemonjell069 @SenatorCantwell -not about fixing it's about attenuating...and climate change will affect the cost a… ,889597350833823744
0,I guess he hasn't heard about climate change 😂 ,819626608986308608
1,Some great explainers from @voxdotcom and @UofCalifornia about climate change here: ,884966539866370049
1,RT @JustinTrudeau: Down to business with Premiers &amp; Indigenous leaders - working on our plan to fight climate change &amp; leave a better…,807355982158262273
1,How rich countries are avoiding helping worldÃ¢â‚¬â„¢s poor cope with climate change ,794414097924259840
1,"Poverty/human development impacts of climate change — Bishwa Tiwari (UNDP) [Meeting #1,… ",909698059407200256
0,"Quiz on US cultural heritage-climate change! (disclaimer: I don't agree w. all the answers, but still interesting) ",840382685012996096
0,RT @mitchellvii: Americans are even less worried about Russia than climate change.,793332322028228608
0,@barackobama really is a ,662357877802205184
1,"RT @savannahdrowne: It was 56 degrees yesterday and itâ€™s 1 degree today, but according to our president â€œglobal warming doesnâ€™t exist â€œðŸ§",953698061028642817
1,RT @BernieSanders: 'The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitiÃ¢â‚¬Â¦,795740915792953344
2,Care about climate change mitigation? Ask what steps a business is taking to address their contribution.… ,807262440375406592
1,RT @SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. TÃ¢â‚¬Â¦,798234900348342272
1,RT @DrBabarShahbaz: Increasing trend of adopting non-farm activities to sustain against climate change &amp; extreme events in mountain areas o…,651335357917712384
0,"2/2 Determined to salvage Obama’s legacy, it’s drawing battle lines on immigration, ObamaCare, RACE RELATIONS and climate change..",898234395177267201
0,RT @oldmudgie: Oh noes! Beer quality threatened by global warming! (From December's 'Opening Times') ,804239444001902592
1,#architecture #interiordesign #deco 101 ways to fight climate change and support the Paris agreement ,957568314548645888
1,RT @golzgoalz: When the weather is nice out but u still believe in climate change: ,831918706133520389
1,RT @CNN: No snow where there should be. Bleached anemones. Cracks in the ice. This is what climate change looks like:Ã¢â‚¬Â¦,798902129511501824
-1,"RT @Carbongate: Physicist - CO2 does not cause climate change, it RESPONDS to it - Video ",860283047454879744
1,"@BlakeSeitz â€œIn the face of ongoing threats like climate changeâ€. So climate change is already happening, yet their numbers are exploding?",957022054796029952
1,How to make better choices and avoid causing climate change ,955378024731439105
1,"RT @ReillyRick: If you care about climate change, religious freedom, gun sanity, women's rights + racial harmony, this is a terrifying nighÃ¢â‚¬Â¦",796339185951051776
1,RT @joys_manor: anyone who doesn't believe or care about climate change should honestly just die please die,796432547089678336
-1,RT @tashavanderbilt: Damn you climate change. ,873249848790790145
0,2015 Story No. 5: The Phantom Menace (Of Global Warming) - The Federalist ,678948938863382528
0,This global warming so late in the season is pretty annoying ��,841662118160130048
2,The House says the military should be thinking about climate change. ,887340698646740997
0,"RT @SophiaCannon: If youâ€™re in Year 11, hereâ€™s a leaked answer from the GCSE Science paper, (the question on climate change). 

Youâ€™re welcâ€¦",956408574011305984
2,Harvard study: Exxon 'misled the public' on climate change for nearly 40 years - CNNMoney ,900569207569612801
1,RT @_iAmRoyal: So many of my friends' families live in FL and are too poor and/or too disabled to evacuate. Capitalism and climate change a…,905592745632432129
0,RT @LeoHickman: Watch: @FrediOtto &amp; @Grantham_IC's Joanna Haigh on @BBCNewsnight last night talking about climate change and #Irma…,907151826902032384
1,"RT @Princeton: A new study finds that if climate change isn't curbed, increased precipitation could overload waterways w/ nitrogen. ",892442929570226177
1,RT @clevelanddotcom: How will climate change affect Cleveland? ,954962584561582081
1,Consequences from Antarctica Climate Change ,788160512408313857
1,"RT @BarackObama: Fighting climate change: ✔
Creating jobs: ✔
The solar industry is booming. ",690459880579297280
1,"RT @LKrauss1: Women's rights, and climate change. Two reasons Trump needs to lose, and hopefully Democrats gain senate majority.",794110259031867392
1,RT @ClimateCentral: Climate change is messing with the axis upon which our fair planet spins ,720165126158966784
2,"Climate change: NSW Farmers Association changes policy, calls for fossil fuels ... - Sydney Morning Herald http://t.co/Dwcflcf4Wx",621589401433325568
1,"RT @davidsirota: The best way to address inequality, a healthcare crisis, poverty &amp; climate change is to label people Bernie Bros. Also war…",876828560266149888
1,RT @meganelder3: People don't believe in climate change but will trust a fuckin groundhog to predict the weather,957015763319173122
0,"system change, NOT climate change! ",860873196215574528
0,"Worth reading about global warming claims:

",631845161643872256
2,#Canada's #ambassador for climate change resigns after husband's death #JustinTrudeau #PrimeMinister...… ,938373831282102278
0,"RT @jaylyall_red5: Write a Short Story About the Earth After Climate Change, And Win $1000! Kim Stanley Robinson to judge entries ",657889580818001920
1,RT @AroundOMedia: 'Traditional lifestyles in the Arctic could be at risk from climate change'. -ACIA (Arctic Climate Impact Assessment) httâ€¦,953270843022258182
2,"Palaeoclimate study suggests global warming is shifting rainfall patterns worldwide
#ResearchHighlight ",871652148588752896
2,"Adoption of green technologies needs a tenfold boost to achieve climate change goals, study finds ",958918794025558016
0,"The Leo Effect: When DiCaprio talked climate change at the Oscars, people suddenly cared. ",761727577274851328
1,RT @kumar_eats_pie: 'A big box of crazy': Trump aides struggle under climate change questioning ,871476004442845184
1,"RT @Independent: Thanks to climate change, it's time to say goodbye to mild weather as you know it ",823310010222526464
-1,Watch: Second Worst Climate Change Video Ever ,667830781583093760
1,RT @PositiveNewsUK: â€œWeâ€™re bringing the fight against climate change straight to the fossil fuel companies that knew about its effects andâ€¦,953529516114067456
0,Fire is not abt global warming tho ������,867723028821442562
1,On front line of climate change as Maldives fights rising seas. ,844250015534997504
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change ,798711662664646660
1,RT @BBCTomFeilden: 1/2 Tomorrow on #r4today: If the UK is going to lead the world on global warming @theCCCuk says most new cars will haveâ€¦,955802058044723205
1,"RT @LeoDiCaprio: Want to stop climate change, @UWM? See #BeforeTheFlood at your University #BeforeYouVote. 
",794201532115795969
0,Questioner asks: Is capitalism inherently destructive of the environment? Mann believes climate change can be solve… ,915323246265995265
0,@FoxNews What happened? Did the Chinese turn off their climate change machine?,841020596649644032
2,World’s mountains threatened by global warming: Climate News Network ,828898605612232704
1,RT @leepace: Protecting and restoring our Forests can 30% of the solution to climate change. @ConservationOrg #NoForestNoFuture ,836094614750683136
1,RT @NavdeepSBains: Thanks for the kind words @cathmckenna - equally humbled &amp; inspired to have you at the helm protecting our env. &amp; f… ,786305236369485825
1,RT @MattBors: Florida. Half the state's going to disappear in ten years due to global warming. They're going for the guy who says it's a ChÃ¢â‚¬Â¦,796180945976041472
1,@Independent Must be his 'shithole' understanding of climate change manifesting itself... @realDonaldTrump,955796248505782272
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change ,798697702133526530
0,"@SandraDuffy123 @willgoodbody Alright, to what degree is humans activity causing global warming and how do you know?",953653262980452352
-1,RT @USFreedomArmy: Can anyone say 'Man-made global warming?' The MSM lies keep coming. Enlist &amp; join our patriots at ,955525778845978624
-1,"RT @JoshNoneYaBiz: The same people who believe in climate change, can't accept the fact science says you're biologically male or female.",912860975728128000
-1,"I know @algore would not believe it because of his global warming theory but yesterday mid 70*, today snow?!�� ",840926424907317250
2,"RT @cnni: Trump says 'nobody really knows' if climate change is real, despite vast majority of climate scientists saying it i… ",808292598674755584
1,RT @climatehawk1: 9 things YOU can do about #climate change | @JeffMcMahon_Chi ,824376682354196494
1,RT @GlobalEcoGuy: I'm proud to announce @calacademy will become first major museum to commit to the Paris Accords on climate change. ,874800178531672064
2,guardian: Earth is $q$experiencing a global warming spurt$q$ ,684704852686041088
-1,RT @wattsupwiththat: Do the Adjustments to Land Surface Air Temperature Data Increase the Global Warming Rate? ,721338175105429504
1,RT @hasheem_simba: @StandardKenya @UreportKe 'The killings are not ethnic-related but we attribute it climate change. There is unprece…,932223107267403777
1,RT @yeetztweetz: people are so quick to shit on girls who believe in astrology lmfao brett you believe climate change is a hoax chill out bâ€¦,954045877869514752
1,"RT @RichMattison: Should businesses have a social purpose, address mega-trends such as climate change and focus on long-term, not short terâ€¦",958610723000680448
2,"From racism to climate change, CEOs keep turning on Trump ",897295075625099264
1,RT @BernieSanders: #ImVotingBecause the future of the planet is at stake. Hillary Clinton will combat climate change. Donald Trump thinks iÃ¢â‚¬Â¦,795860458947289088
1,RT @Circa: Polar bears are starving to death as climate change pushes them closer to extinction - ,958995368519364608
1,"RT @CNN: Cooper: Does Trump believe in climate change?

Ex-campaign official: 'He loves the outdoors'; that's wrong question ",870801564440694784
1,@realDonaldTrump you need to believe in climate change! Do it and you have my vote. If not it's going to @HillaryClinton,793627262742622209
0,@MicaBurton I'm doing the same thing in 2 years... why does climate change gotta hurt me so...?,956109950954086400
1,RT @StephenSchlegel: she's thinking about how she's going to die because your husband doesn't believe in climate change ,798689864363479040
2,RT @Anon_Eu: The country set to cash in on climate change ,812193474502070272
1,@Momentum_UNFCCC:Nice short film documenting students as they work2 mk positive changes2 attitudes abt climate change.http://t.co/wCs8wtYaJE,596488338594336768
0,@Hotpage_News But dat global warming doe...,963413174979645440
1,"RT @NatGeoChannel: 'The majority of scientists agree that climate change is a real and present danger, and we as a species must act now.' -…",851631257880604672
1,RT @ph_lamberts: Government has been sorely lacking ambition on tackling climate change. #Ireland was ranked as Europeâ€™s worst performer inâ€¦,958138956394254336
2,RT @USRealityCheck: Report: Nominee who called belief in climate change a 'kind of paganism' to be dropped ,959156960645001219
2,RT @cj_wwf: Lab tests predict growth of #Antarctic #phytoplankton $q$will double due to climate change$q$ http://t.co/B5lwEkgRfe,651363472090001408
1,RT @EricBoehlert: so how many articles during campaign did The Intercept do on Trump and climate change vs number of articles on Clin…,870721304621699073
1,Balzer: Resilient ecosystems4 adaption to climate change. This is also in line with the #ZANUPF resolutions made made during #2016Conference,848823276394696704
1,Stop making climate change a political issue and protect our awesome planet,717602197681274880
1,Record-breaking climate change pushes world into ‘uncharted territory’. 15mm sea level rise in 15 months. ,844106222882107392
1,"RT @ProSyn: To achieve the #ParisAgreement goals, efforts to combat corruption and climate change must go hand in hand ",845474759110356992
1,But akh I just need someone to educate me on the ramifications of my actions on global warming. Ffs. ,953282773577433088
1,Failure to address global warming will cost many lives ,675320153685397504
-1,RT @hockeyschtick1: Milloy: Dumbest Global Warming Study Ever Wins Raves From New York Times ,660154586250899456
0,@Oil_Guns_Merica @Cernovich @LeoDiCaprio is a hypocrite just like the rest of the celebrities on climate change who… ,870813253537939457
1,We need to encourage the mainstreaming of climate change into national security and defense strategies.  | http://t.co/58cOPWdwfZ,628110596228038656
1,Donald Trump on some nut shit if he think global warming not real,905532658087641088
1,RT @thinkprogress: Why you shouldn’t be surprised by the Pope’s strong stance on climate change http://t.co/34BlgMESKr http://t.co/GVeSDHRo…,611157645521588225
1,"@PC_CRIMINAL @hellaroasty @balkan_princeza @js_heck Essentially denies global warming, is a supporter of bigotry and racism...",817372519099465728
-1,WUWT: Bangladesh blames Global Warming for Water Shortage ,711948583436562432
0,@TuckerCarlson i thought that 100% of climate change scientists believed in climate change.,816807187276333056
1,Man-made climate change began earlier than we once thought ,842635817688449024
1,"@realDonaldTrump Earth begins 2017 with near-record warm temperatures. But climate change is fake news, right? ",844311543433039874
1,"RT @bbylychee: Regular cheetos: 
Doesn't believe in global warming 
Bad driver 
Eyebrows unblended 

Hot cheetos: 
4.0 GPA 
Loved by moms
G…",871625002667229184
2,Scientists blame global warming for new phenomenon called ‘river piracy’ ,854049362510360576
2,RT @foxandfriends: Paris Agreement on climate change: VP Pence says Trump 'fighting for American jobs' (via #Hannity) ,870570351507390465
2,RT FT : Untested waters: Miami Beach and climate change ,818058793330343936
0,RT @johnpodesta: A breath of clean air on climate change. ,808717421137641472
0,Accountants need to know about the latest climate change reporting initiative because boards and clients will be sâ€¦ ,958386874015502336
1,RT @BillMoyersHQ: These CEOs are trying to stop shareholders from knowing how climate change affects their wallets ,879915288858304512
2,RT @theecoheroes: Climate change study in Canada's Hudson Bay thwarted by climate change #environment #climatechange ,879120382757920768
1,"2⃣. climate change - reduce individual carbon footprint, recyclic reuse 
[nose bleed ka dyan maxine 🤣]",826001614427205632
1,"RT @funkinatrix: Bernie: Will Trump mention climate change, the great environmental crisis of our time? Been waiting for a year now. #RNCwi…",756332539908849664
1,"#Science - Giant seabed 'sandbags' could ward off climate change, If they work as planne... ",953951235111038976
1,But global warming isn't real... ,811727596358602753
1,"I just joined @NatGeoChannel @21CF in combating climate change. Take action #BeforeTheFlood
",794316104294232064
0,@Arzaylea jk bc global warming. I'm currently wearing shorts,834459450400526337
2,RT @political_alert: Statement: The Australian Government has ratified the Paris Agreement on climate change and the Doha Amendment to tÃ¢â‚¬Â¦,796620881783115777
1,RT @Nyach_KE: @ajirobadanie how can young people be motivated to actively participate in issues like climate change affecting the continent…,753260535257395202
1,Clouds are impeding global warming... for now ,794285599041654784
0,"The US sermonises the world about climate change, but comes across as a total bozo when it comes to fighting wildfi… ",940042193351221248
2,Two billion people may become refugees from climate change by the end of the century ,879959325539799041
-1,FLASHBACK: @ABC News Warns NYC Will B Under Water by 2015 Due to Global Warming &amp; Polar Bears Will Fall Frm Sky http://t.co/ecVTHTVJrp #tcot,609792596051906560
0,@SATmontreal e-art &amp; climate change | 6th BALANCE-UNBALANCE conference | CALL papers/works ,807932453788745728
1,We're paying the cost of climate change now ,945175480776343552
1,"RT @RuthHarrisonMSP: They may be fundamentalist, homophobic, misogynistic, climate change deniers supported by terrorists, but at least the…",873568613596372996
1,Mass extinctions and climate change: why the speed of rising greenhouse gases matters ,712840875634601984
2,RT @nzherald: US government bans use of term 'climate change' ,895002392579547136
1,"RT @sallykohn: Oy, for all those in my feed saying weather and climate change aren't related: ",839961056235687936
1,RT @Bobbyh214: UN poll shows most people donÃ¢â‚¬â„¢t care about fighting global warming ,793889148474052608
1,"RT @SierraClub: Facing a President who denies reality of climate change, we must mobilize! Join us 4/29 for #PeoplesClimate March … ",835351508510248960
0,"@TheRickyDavila no paying taxes, give USA away for Putin, investment from China, sexual assaults,stupid 'bout climate change'll make us sink",793389003030474752
2,Filmmaker aboard icebreaker documents aborted mission to study Arctic climate change ,953502752050761728
0,"RT @realHamOnWry: First came dinosaurs, then climate change killed the dinosaurs and they became oil. Then man found the oil, and climate câ€¦",954826077028978688
1,RT @SenSanders: We have a president-elect who doesn't believe in climate change. Millions of people are going to have to say: Mr. TÃ¢â‚¬Â¦,797923201648979968
1,RT @LeoHickman: Where the state of politics in the US is in such a woeful place that those wanting action on climate change are categorisedâ€¦,958186558082854913
1,RT @ImaniAfr: @CPPGhanaOnline promises full implementation of the National Climate Change Adaptation Strategy. #Imanifesto16,778313556722941952
